"OBJECTID","Parent_ID","Zone_ID","Jurisdiction_ID","Name","Nom","GIS_Size_Ha","SIG_Superficie_Ha","SurveySize_Ha","ArpentageSuperficie_Ha","GazetteSize_Ha","GazetteSuperficie_Ha","GIS_ZoneSize_Ha","SIG_ZoneSuperficie_Ha","ProvinceTerritory","ProvinceTerritoire","LegalStatus","StatutLegal","Legislation_En","Legislation_Fr","ProtectionType","TypeProtection","IUCN_Category","Categorie_UICN","Biome_En","Biome_Fr","ProtectionDate","GazetteDate","ARMS_ID","DFRP_ID","PA_Comments","AP_Commentaires","Shape_STArea__","Shape_STLength__","Shape_STArea_1","Shape_STLength_1","Shape_STArea_12","Shape_STLength_12","Shape_Length","Shape_Area"
"201","730009500","730009506","9506","Prairie National Wildlife Area - Unit number 06","Prairies - Unité numéro 06, Réserve nationale de faune des","62.44","62.44","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 06","Prairie National Wildlife Area - Unit number 06","624359.35961914","3205.97477739","8.336e-005","0.03814114","8.33682679513004e-005","0.0381411494462472","0.0381411494462472","8.33682677021959e-005"
"202","730009500","730009507","9507","Prairie National Wildlife Area - Unit number 07","Prairies - Unité numéro 07, Réserve nationale de faune des","238.19","238.19","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 07","Prairie National Wildlife Area - Unit number 07","2381865.81323242","15404.15144495","0.00031841","0.18189753","0.000318410041927564","0.181897531859001","0.181897531859001","0.000318410041039708"
"203","730009500","730009508","9508","Prairie National Wildlife Area - Unit number 08","Prairies - Unité numéro 08, Réserve nationale de faune des","64.9","64.9","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 08","Prairie National Wildlife Area - Unit number 08","648974.16943359","3222.37861743","8.44e-005","0.03779812","8.4401061940298e-005","0.0377981233610727","0.0377981233610727","8.44010619634055e-005"
"204","730009500","730009509","9509","Prairie National Wildlife Area - Unit number 09","Prairies - Unité numéro 09, Réserve nationale de faune des","64.84","64.84","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 09","Prairie National Wildlife Area - Unit number 09","648380.09204101","3220.91628416","8.42e-005","0.03774804","8.42029544401157e-005","0.037748043911694","0.037748043911694","8.42029541989244e-005"
"205","730009500","730009510","9510","Prairie National Wildlife Area - Unit number 10","Prairies - Unité numéro 10, Réserve nationale de faune des","64.54","64.54","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 10","Prairie National Wildlife Area - Unit number 10","645390.62060546","3213.45408353","7.933e-005","0.03640565","7.93397603047197e-005","0.0364056524398554","0.0364056524398554","7.9339760409006e-005"
"206","730009500","730009511","9511","Prairie National Wildlife Area - Unit number 11","Prairies - Unité numéro 11, Réserve nationale de faune des","193.54","193.54","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 11","Prairie National Wildlife Area - Unit number 11","1935360.2890625","6421.10670736","0.00023791","0.06532027","0.000237919407936715","0.0653202750075867","0.0653202750075867","0.000237919407177607"
"207","730009500","730009512","9512","Prairie National Wildlife Area - Unit number 12","Prairies - Unité numéro 12, Réserve nationale de faune des","65.26","65.26","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 12","Prairie National Wildlife Area - Unit number 12","652600.41162109","3231.3492373","8.476e-005","0.03789979","8.47643536872056e-005","0.0378997979618332","0.0378997979618332","8.47643532332432e-005"
"208","730009500","730009513","9513","Prairie National Wildlife Area - Unit number 13","Prairies - Unité numéro 13, Réserve nationale de faune des","372.08","372.08","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 13","Prairie National Wildlife Area - Unit number 13","3720812.67504883","18457.51228621","0.00048368","0.22324731","0.000483681410059944","0.223247319212879","0.223247319212879","0.000483681408651945"
"209","730009500","730009514","9514","Prairie National Wildlife Area - Unit number 14","Prairies - Unité numéro 14, Réserve nationale de faune des","64.68","64.68","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 14","Prairie National Wildlife Area - Unit number 14","646810.4477539","3216.98241258","7.962e-005","0.03647398","7.9629598531028e-005","0.0364739889641038","0.0364739889641038","7.96295985976506e-005"
"210","730009500","730009515","9515","Prairie National Wildlife Area - Unit number 15","Prairies - Unité numéro 15, Réserve nationale de faune des","64.71","64.71","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 15","Prairie National Wildlife Area - Unit number 15","647079.67675781","3217.65407851","7.979e-005","0.0365129","7.97908137428749e-005","0.0365129054817994","0.0365129054817994","7.97908136802066e-005"
"211","730009500","730009516","9516","Prairie National Wildlife Area - Unit number 16","Prairies - Unité numéro 16, Réserve nationale de faune des","194.4","194.4","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 16","Prairie National Wildlife Area - Unit number 16","1944002.68896484","8047.56941235","0.00024214","0.08803483","0.000242148806592013","0.0880348349114528","0.0880348349114528","0.000242148807000004"
"212","730009500","730009517","9517","Prairie National Wildlife Area - Unit number 17","Prairies - Unité numéro 17, Réserve nationale de faune des","65.31","65.31","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 17","Prairie National Wildlife Area - Unit number 17","653081.63598632","3232.59353119","8.229e-005","0.03722951","8.22906304165372e-005","0.0372295137574436","0.0372295137574436","8.22906301432333e-005"
"213","730009500","730009518","9518","Prairie National Wildlife Area - Unit number 18","Prairies - Unité numéro 18, Réserve nationale de faune des","64.52","64.52","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 18","Prairie National Wildlife Area - Unit number 18","645178.88256835","3212.97038488","8.139e-005","0.03694968","8.13933852441551e-005","0.0369496850489134","0.0369496850489134","8.13933856276997e-005"
"214","730009500","730009519","9519","Prairie National Wildlife Area - Unit number 19","Prairies - Unité numéro 19, Réserve nationale de faune des","40.49","40.49","","","","","","","Saskatchewan","Saskatchewan","Gazetted","Gazette","Canada Wildlife Act 1994","","National Wildlife Area","","Vl","Vl","Terrestrial","Terrestre","19770101000000","","","","Prairie National Wildlife Area - Unit number 19","Prairie National Wildlife Area - Unit number 19","404865.37329101","3621.69767543","5.142e-005","0.04291628","5.14264884259319e-005","0.0429162896702433","0.0429162896702433","5.14264880440875e-005"
